x,y,z,Zone,Layer,Segment,Switch,Condition,WPLink,MovType,Pause,Period,Job,TS,h,e,Weave,roll,pitch,yaw,rx,ry,rz,Scan,TimeLine,t_pause,AbsoluteAngle,pl,WeaveAng
440.1246891,799.5,85.45,0,0,0,0,approach,0,linear,0,off,20,7,2,10,0,0,0,0,0,0,0,off,0 min,0 min,0,8,180
440.1246891,799.5,55.45,0,0,0,0,scan on,1,linear,0,off,20,7,2,10,0,0,0,0,0,0,0,on,0.0042857 min,0 min,0,8,180
349.8753109,799.5,55.45,0,0,0,0,scan off,1,linear,0,off,20,2,2,10,0,0,0,0,0,0,0,on,0.04941 min,0 min,0,8,180
349.8753109,799.5,85.45,0,0,0,0,uplift,0,linear,0,off,20,7,2,10,0,0,0,0,0,0,0,off,0.053696 min,0 min,0,0,180
450,799.5,65.45,1,1,1,0,approach,0,linear,0,off,20,7,2,10,0,0,0,0,0,0,0,off,0.068282 min,0 min,0,8,0
450,799.5,35.45,1,1,1,1,arc on,1,linear,0,off,20,7,2,10,0,0,0,0,0,0,0,off,0.072568 min,0 min,0,0,0
400,799.5,35.45,1,1,1,0,arc off,0,linear,0,off,0,0.6,2,10,0,0,0,0,0,0,0,off,0.1559 min,0 min,0,0,0
400,799.5,65.45,1,1,1,0,uplift,0,linear,0,off,0,7,2,10,0,0,0,0,0,0,0,off,0.16019 min,0 min,0,0,0
440.1246891,799.5,85.45,1,1,0,0,approach,0,linear,0,off,20,7,2,10,0,0,0,0,0,0,0,off,0.16659 min,0 min,0,8,0
440.1246891,799.5,55.45,1,1,0,0,scan on,1,linear,0,off,20,7,2,10,0,0,0,0,0,0,0,on,0.17088 min,0 min,0,8,0
349.8753109,799.5,55.45,1,1,0,0,scan off,1,linear,0,off,20,2,2,10,0,0,0,0,0,0,0,on,0.216 min,0 min,0,8,0
349.8753109,799.5,85.45,1,1,0,0,uplift,0,linear,0,off,20,7,2,10,0,0,0,0,0,0,0,off,0.22029 min,0 min,0,0,0
400,799.5,67.4,2,2,1,0,approach,0,linear,0,off,20,7,2,10,0,0,0,0,0,0,0,off,0.2279 min,0 min,0,8,180
400,799.5,37.4,2,2,1,1,arc on,2,linear,0,off,20,7,2,10,0,0,0,0,0,0,0,off,0.23218 min,0 min,0,0,180
450,799.5,37.4,2,2,1,0,arc off,0,linear,0,off,0,0.8,2,10,0,0,0,0,0,0,0,off,0.29468 min,0 min,0,0,180
450,799.5,67.4,2,2,1,0,uplift,0,linear,0,off,0,7,2,10,0,0,0,0,0,0,0,off,0.29897 min,0 min,0,0,180
440.1246891,799.5,87.4,2,2,0,0,approach,0,linear,0,off,20,7,2,10,0,0,0,0,0,0,0,off,0.30216 min,0 min,0,8,180
440.1246891,799.5,57.4,2,2,0,0,scan on,2,linear,0,off,20,7,2,10,0,0,0,0,0,0,0,on,0.30644 min,0 min,0,8,180
349.8753109,799.5,57.4,2,2,0,0,scan off,2,linear,0,off,20,2,2,10,0,0,0,0,0,0,0,on,0.35157 min,0 min,0,8,180
349.8753109,799.5,87.4,2,2,0,0,uplift,0,linear,0,off,20,7,2,10,0,0,0,0,0,0,0,off,0.35585 min,0 min,0,0,180
450,799.5,69.4,3,3,1,0,approach,0,linear,0,off,20,7,2,10,0,0,0,0,0,0,0,off,0.37039 min,0 min,0,8,180
450,799.5,39.4,3,3,1,1,arc on,3,linear,0,off,20,7,2,10,0,0,0,0,0,0,0,off,0.37467 min,0 min,0,0,180
