time, x, y, z, speed, ArcOn, WFS, I, U, tool, frame, dz, speedOverride
36:51.1,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:51.2,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:51.3,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:51.3,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:51.4,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:51.5,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:51.5,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:51.6,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:51.6,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:51.7,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:51.8,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:51.8,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:51.9,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.0,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.0,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.1,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.1,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.2,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.2,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.3,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.4,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.4,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.5,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.5,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.6,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.6,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.7,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.7,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.8,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.8,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:52.9,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.0,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.0,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.1,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.1,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.2,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.2,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.3,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.3,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.4,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.5,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.5,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.6,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.6,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.7,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.7,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.8,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.8,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.9,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:53.9,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:54.0,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:54.1,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:54.1,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:54.2,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:54.2,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:54.3,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:54.3,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:54.4,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:54.4,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:54.5,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:54.6,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:54.7,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
36:54.7,450,799.487,43.115,0,0,6.62,135.2,13.54,4,7,0,100
