X,Y,Z,layer_id_2MethodKmean7
1872.26,353.432,-41.0937,0
1872.28,353.492,-41.0135,0
1872.22,353.541,-41.2442,0
1872.18,353.65,-41.4102,0
1872.19,353.708,-41.4097,0
1871.0,352.045,-41.6418,0
1871.01,352.104,-41.617,0
1871.03,352.164,-41.5679,0
1871.03,352.223,-41.5431,0
1871.05,352.283,-41.4776,0
1871.06,352.343,-41.4372,0
1871.08,352.402,-41.3959,0
1871.08,352.461,-41.3711,0
1871.07,352.515,-41.4503,0
1871.06,352.572,-41.4731,0
1871.08,352.631,-41.4327,0
1871.08,352.689,-41.4312,0
1871.07,352.745,-41.455,0
1871.08,352.803,-41.4536,0
1871.08,352.861,-41.453,0
1871.09,352.919,-41.4283,0
1871.09,352.977,-41.4112,0
1871.09,353.035,-41.4185,0
1871.09,353.092,-41.4335,0
1871.1,353.15,-41.4243,0
1871.1,353.208,-41.4238,0
1871.1,353.265,-41.431,0
1871.08,353.32,-41.5102,0
1871.07,353.375,-41.565,0
1871.07,353.433,-41.5723,0
1871.07,353.49,-41.5795,0
1871.07,353.548,-41.579,0
1871.07,353.606,-41.5863,0
1871.07,353.662,-41.6013,0
1871.06,353.719,-41.6406,0
1870.05,351.548,-41.6457,0
1870.12,351.618,-41.4033,0
1870.15,351.68,-41.2988,0
1870.16,351.74,-41.2653,0
1870.17,351.8,-41.225,0
1870.2,351.862,-41.104,0
1870.22,351.924,-41.0316,0
1870.23,351.983,-40.9903,0
1870.27,352.046,-40.8703,0
1870.28,352.106,-40.8135,0
1870.29,352.165,-40.7887,0
1870.3,352.222,-40.7717,0
1870.3,352.281,-40.7634,0
1870.31,352.339,-40.7386,0
1870.31,352.395,-40.7615,0
1870.3,352.452,-40.7765,0
1870.31,352.51,-40.7673,0
1870.32,352.569,-40.7347,0
1870.33,352.628,-40.7021,0
1870.33,352.685,-40.6939,0
1870.34,352.743,-40.6846,0
1870.36,352.803,-40.62,0
1870.37,352.861,-40.5797,0
1870.37,352.919,-40.5715,0
1870.37,352.976,-40.5778,0
1870.37,353.033,-40.5773,0
1870.37,353.089,-40.6156,0
1870.37,353.147,-40.6229,0
1870.36,353.203,-40.6534,0
1870.36,353.259,-40.6607,0
1870.36,353.317,-40.6602,0
1870.36,353.373,-40.6831,0
1870.36,353.43,-40.6903,0
1870.36,353.488,-40.7053,0
1870.36,353.544,-40.7117,0
1870.36,353.601,-40.7267,0
1870.34,353.656,-40.7815,0
1870.33,353.712,-40.8286,0
1870.33,353.769,-40.8359,0
1870.32,353.825,-40.8907,0
1870.31,353.88,-40.9534,0
1870.31,353.937,-40.9684,0
1870.3,353.993,-41.0155,0
1870.29,354.049,-41.0383,0
1870.29,354.106,-41.0776,0
1870.28,354.162,-41.1159,0
1870.27,354.218,-41.1475,0
1870.26,354.274,-41.2188,0
1870.25,354.33,-41.2659,0
1870.23,354.385,-41.3528,0
1870.2,354.44,-41.4639,0
1870.19,354.496,-41.5032,0
1870.19,354.552,-41.5348,0
1869.08,351.225,-41.2556,0
1869.13,351.295,-41.0316,0
1869.17,351.36,-40.8873,0
1869.19,351.42,-40.8304,0
1869.24,351.487,-40.6551,0
1869.26,351.548,-40.5749,0
1869.27,351.607,-40.5346,0
1869.29,351.667,-40.4777,0
1869.31,351.729,-40.3898,0
1869.32,351.788,-40.3495,0
1869.33,351.846,-40.3325,0
1869.34,351.905,-40.2844,0
1869.37,351.967,-40.1965,1
1869.37,352.024,-40.196,1
1869.39,352.084,-40.1323,1
1869.4,352.143,-40.0998,1
1869.4,352.2,-40.0906,1
1869.41,352.259,-40.059,1
1869.42,352.317,-40.0264,1
1869.44,352.376,-39.9861,1
1869.44,352.433,-39.9769,1
1869.45,352.491,-39.9608,1
1869.45,352.549,-39.9438,1
1869.46,352.607,-39.9278,1
1869.46,352.665,-39.9108,1
1869.47,352.722,-39.9103,1
1869.47,352.779,-39.9166,1
1869.48,352.837,-39.8685,1
1869.49,352.896,-39.8214,1
1869.49,352.952,-39.851,1
1869.5,353.01,-39.835,1
1869.5,353.067,-39.8345,1
1869.5,353.123,-39.8486,1
1869.5,353.181,-39.8403,1
1869.51,353.238,-39.8156,1
1869.51,353.295,-39.8306,1
1869.5,353.351,-39.8612,1
1869.5,353.408,-39.852,1
1869.5,353.465,-39.8593,1
1869.5,353.521,-39.8743,1
1869.5,353.578,-39.8806,1
1869.5,353.635,-39.8879,1
1869.5,353.691,-39.9029,1
1869.5,353.747,-39.9258,1
1869.5,353.803,-39.9398,1
1869.49,353.86,-39.9549,1
1869.49,353.917,-39.9777,1
1869.48,353.973,-40.0083,1
1869.48,354.028,-40.0466,1
1869.47,354.085,-40.0694,1
1869.46,354.14,-40.132,1
1869.45,354.196,-40.1704,1
1869.45,354.252,-40.1932,1
1869.44,354.308,-40.216,0
1869.44,354.365,-40.2544,0
1869.43,354.421,-40.2927,0
1869.4,354.475,-40.3942,0
1869.4,354.531,-40.4092,0
1869.4,354.589,-40.4243,0
1869.38,354.643,-40.5024,0
1869.37,354.699,-40.565,0
1869.36,354.755,-40.6121,0
1869.33,354.809,-40.7223,0
1869.31,354.864,-40.8082,0
1869.29,354.919,-40.9116,0
1869.28,354.975,-40.9577,0
1869.27,355.031,-41.0048,0
1869.19,355.081,-41.3237,0
1868.3,351.26,-40.6169,0
1868.32,351.321,-40.5523,0
1868.36,351.386,-40.409,0
1868.4,351.452,-40.2268,0
1868.43,351.514,-40.1389,1
1868.44,351.573,-40.1063,1
1868.44,351.63,-40.0893,1
1868.45,351.689,-40.0655,1
1868.47,351.75,-39.9931,1
1868.48,351.808,-39.9693,1
1868.49,351.867,-39.9368,1
1868.51,351.926,-39.8731,1
1868.53,351.987,-39.8017,1
1868.54,352.045,-39.7614,1
1868.55,352.104,-39.7289,1
1868.56,352.163,-39.6973,1
1868.57,352.221,-39.6647,1
1868.59,352.28,-39.6011,1
1868.6,352.339,-39.5773,1
1868.6,352.396,-39.5603,1
1868.61,352.453,-39.5598,1
1868.61,352.511,-39.5506,1
1868.61,352.568,-39.5423,1
1868.62,352.626,-39.5253,1
1868.63,352.683,-39.5093,1
1868.63,352.74,-39.4923,1
1868.64,352.798,-39.4763,1
1868.64,352.855,-39.467,1
1868.65,352.913,-39.451,1
1868.66,352.97,-39.434,1
1868.66,353.026,-39.4413,1
1868.65,353.083,-39.4563,1
1868.66,353.14,-39.4549,1
1868.66,353.197,-39.4389,1
1868.66,353.254,-39.4462,1
1868.66,353.31,-39.4602,1
1868.66,353.366,-39.4675,1
1868.67,353.425,-39.4505,1
1868.67,353.481,-39.4501,1
