X,Y,Z,layer_id_5MethodGeometryBased,layer_id,proc_I,proc_U,proc_WFS,proc_speed,matched_layer_id
1819.05,354.166,-41.6055,1,1,-inf,-inf,-inf,,1
1819.06,354.109,-41.574,1,1,-inf,-inf,-inf,,1
1819.11,356.479,-41.6646,1,1,-inf,-inf,-inf,,1
1819.11,356.421,-41.6661,1,1,-inf,-inf,-inf,,1
1819.11,356.247,-41.6609,1,1,-inf,-inf,-inf,,1
1819.11,356.304,-41.6594,1,1,-inf,-inf,-inf,,1
1819.11,356.363,-41.6666,1,1,-inf,-inf,-inf,,1
1820.04,351.945,-41.6322,1,1,-inf,-inf,-inf,,1
1820.06,352.006,-41.5743,1,1,-inf,-inf,-inf,,1
1820.08,352.068,-41.4932,1,1,-inf,-inf,-inf,,1
1820.1,352.129,-41.4276,1,1,-inf,-inf,-inf,,1
1820.11,352.188,-41.395,1,1,-inf,-inf,-inf,,1
1820.12,352.248,-41.3537,1,1,-inf,-inf,-inf,,1
1820.13,352.307,-41.3289,1,1,-inf,-inf,-inf,,1
1820.13,352.365,-41.3274,1,1,-inf,-inf,-inf,,1
1820.14,352.482,-41.2943,1,1,-inf,-inf,-inf,,1
1820.14,352.423,-41.3191,1,1,-inf,-inf,-inf,,1
1820.14,354.951,-41.6337,1,1,-inf,-inf,-inf,,1
1820.15,354.896,-41.5867,1,1,-inf,-inf,-inf,,1
1820.17,354.783,-41.4838,1,1,-inf,-inf,-inf,,1
1820.17,354.84,-41.5066,1,1,-inf,-inf,-inf,,1
1820.17,352.544,-41.1967,1,1,-inf,-inf,-inf,,1
1820.17,354.725,-41.5008,1,1,-inf,-inf,-inf,,1
1820.18,352.603,-41.1641,1,1,-inf,-inf,-inf,,1
1820.19,354.67,-41.3965,1,1,-inf,-inf,-inf,,1
1820.19,352.662,-41.1384,1,1,-inf,-inf,-inf,,1
1820.19,352.72,-41.1301,1,1,-inf,-inf,-inf,,1
1820.2,354.556,-41.3421,1,1,-inf,-inf,-inf,,1
1820.2,352.835,-41.1203,1,1,-inf,-inf,-inf,,1
1820.2,352.778,-41.1286,1,1,-inf,-inf,-inf,,1
1820.2,354.614,-41.3659,1,1,-inf,-inf,-inf,,1
1820.21,354.327,-41.2898,1,1,-inf,-inf,-inf,,1
1820.21,352.894,-41.0955,1,1,-inf,-inf,-inf,,1
1820.21,354.443,-41.3043,1,1,-inf,-inf,-inf,,1
1820.21,353.01,-41.0858,1,1,-inf,-inf,-inf,,1
1820.21,352.951,-41.0941,1,1,-inf,-inf,-inf,,1
1820.21,354.5,-41.3106,1,1,-inf,-inf,-inf,,1
1820.21,354.385,-41.3048,1,1,-inf,-inf,-inf,,1
1820.22,353.297,-41.0891,1,1,-inf,-inf,-inf,,1
1820.22,353.125,-41.0673,1,1,-inf,-inf,-inf,,1
1820.22,353.183,-41.0823,1,1,-inf,-inf,-inf,,1
1820.22,353.24,-41.0896,1,1,-inf,-inf,-inf,,1
1820.22,354.271,-41.2504,1,1,-inf,-inf,-inf,,1
1820.22,353.067,-41.0688,1,1,-inf,-inf,-inf,,1
1820.23,353.356,-41.0798,1,1,-inf,-inf,-inf,,1
1820.23,353.413,-41.0794,1,1,-inf,-inf,-inf,,1
1820.23,354.216,-41.1791,1,1,-inf,-inf,-inf,,1
1820.24,353.529,-41.0531,1,1,-inf,-inf,-inf,,1
1820.24,353.471,-41.0623,1,1,-inf,-inf,-inf,,1
1820.24,353.701,-41.0671,1,1,-inf,-inf,-inf,,1
1820.24,353.815,-41.1127,1,1,-inf,-inf,-inf,,1
1820.24,353.644,-41.0754,1,1,-inf,-inf,-inf,,1
1820.24,353.586,-41.0604,1,1,-inf,-inf,-inf,,1
1820.24,353.931,-41.0952,1,1,-inf,-inf,-inf,,1
1820.24,354.046,-41.1097,1,1,-inf,-inf,-inf,,1
1820.24,353.873,-41.1122,1,1,-inf,-inf,-inf,,1
1820.24,353.759,-41.0821,1,1,-inf,-inf,-inf,,1
1820.25,353.988,-41.0947,1,1,-inf,-inf,-inf,,1
1820.25,354.161,-41.1078,1,1,-inf,-inf,-inf,,1
1820.25,354.103,-41.1083,1,1,-inf,-inf,-inf,,1
1820.96,351.301,-41.6055,1,1,137.3,13.42,6.09,0.2554705882356122,1
1820.97,351.361,-41.5719,1,1,137.3,13.42,6.09,0.2766470588238279,1
1820.99,351.423,-41.483,1,1,137.3,13.42,6.09,0.31900000000025924,1
1821.0,351.483,-41.4494,1,1,137.3,13.42,6.09,0.34017647058847494,1
1821.01,351.542,-41.4159,1,1,137.3,13.42,6.09,0.3613529411766906,1
1821.03,351.603,-41.3755,1,1,137.3,13.42,6.09,0.403705882353122,1
1821.04,351.662,-41.3342,1,1,137.3,13.42,6.09,0.4248823529413377,1
1821.05,351.722,-41.3007,1,1,137.3,13.42,6.09,0.4460588235295534,1
1821.06,351.782,-41.2516,1,1,137.3,13.42,6.09,0.467235294117769,1
1821.08,351.842,-41.1948,1,1,137.3,13.42,6.09,0.5095882352942004,1
1821.09,355.635,-41.6672,1,1,137.3,13.42,6.09,0.5307647058824161,1
1821.09,355.693,-41.6657,1,1,137.3,13.42,6.09,0.5307647058824161,1
1821.1,351.902,-41.1457,1,1,137.3,13.42,6.09,0.5519411764706318,1
1821.1,355.347,-41.6066,1,1,137.3,13.42,6.09,0.5519411764706318,1
1821.11,355.291,-41.5595,1,1,137.3,13.42,6.09,0.5731176470588475,1
1821.11,351.962,-41.1053,1,1,137.3,13.42,6.09,0.5731176470588475,1
1821.12,352.08,-41.0548,1,1,137.3,13.42,6.09,0.5942941176470632,1
1821.12,355.235,-41.5125,1,1,137.3,13.42,6.09,0.5942941176470632,1
1821.12,352.021,-41.0796,1,1,137.3,13.42,6.09,0.5942941176470632,1
1821.13,355.178,-41.4489,1,1,137.3,13.42,6.09,0.6154705882357603,1
1821.14,355.121,-41.4251,1,1,137.3,13.42,6.09,0.625,1
1821.14,352.141,-40.9902,1,1,137.3,13.42,6.09,0.625,1
1821.15,355.065,-41.3616,1,1,137.3,13.42,6.09,0.625,1
1821.16,355.009,-41.298,1,1,137.3,13.42,6.09,0.625,1
1821.16,352.2,-40.9489,1,1,137.3,13.42,6.09,0.625,1
1821.17,352.26,-40.892,1,1,137.3,13.42,6.09,0.625,1
1821.17,354.953,-41.2509,1,1,137.3,13.42,6.09,0.625,1
1821.18,354.897,-41.2116,1,1,137.3,13.42,6.09,0.625,1
1821.18,352.319,-40.8672,1,1,137.3,13.42,6.09,0.625,1
1821.18,352.377,-40.8667,1,1,137.3,13.42,6.09,0.625,1
1821.19,354.84,-41.181,1,1,137.3,13.42,6.09,0.625,1
1821.19,352.436,-40.8497,1,1,137.3,13.42,6.09,0.625,1
1821.2,354.784,-41.1097,1,1,137.3,13.42,6.09,0.625,1
1821.2,352.494,-40.8249,1,1,137.3,13.42,6.09,0.625,1
1821.21,354.613,-41.0559,1,1,137.3,13.42,6.09,0.625,1
1821.21,354.67,-41.0787,1,1,137.3,13.42,6.09,0.625,1
1821.21,352.612,-40.7675,1,1,137.3,13.42,6.09,0.625,1
1821.21,352.553,-40.7846,1,1,137.3,13.42,6.09,0.625,1
1821.21,354.728,-41.0937,1,1,137.3,13.42,6.09,0.625,1
1821.22,354.557,-41.0166,1,1,137.3,13.42,6.09,0.625,1
1821.22,352.67,-40.7428,1,1,137.3,13.42,6.09,0.625,1
1821.23,352.786,-40.7243,1,1,137.3,13.42,6.09,0.625,1
1821.23,354.502,-40.9539,1,1,137.3,13.42,6.09,0.625,1
1821.23,352.728,-40.7413,1,1,137.3,13.42,6.09,0.625,1
1821.24,352.844,-40.684,1,1,137.3,13.42,6.09,0.625,1
1821.24,354.445,-40.9302,1,1,137.3,13.42,6.09,0.625,1
1821.25,352.961,-40.6587,1,1,137.3,13.42,6.09,0.625,1
1821.25,354.333,-40.8447,1,1,137.3,13.42,6.09,0.625,1
1821.25,354.39,-40.8676,1,1,137.3,13.42,6.09,0.625,1
1821.25,352.904,-40.6592,1,1,137.3,13.42,6.09,0.625,1
1821.26,353.075,-40.6567,1,1,137.3,13.42,6.09,0.625,1
1821.26,354.22,-40.8059,1,1,137.3,13.42,6.09,0.625,1
1821.26,353.019,-40.6494,1,1,137.3,13.42,6.09,0.625,1
1821.26,353.133,-40.664,1,1,137.3,13.42,6.09,0.625,1
1821.26,354.275,-40.8297,1,1,137.3,13.42,6.09,0.625,1
1821.26,353.19,-40.6547,1,1,137.3,13.42,6.09,0.625,1
1821.27,353.42,-40.6673,1,1,137.3,13.42,6.09,0.625,1
1821.27,353.593,-40.6648,1,1,137.3,13.42,6.09,0.625,1
1821.27,353.535,-40.6653,1,1,137.3,13.42,6.09,0.625,1
1821.27,353.363,-40.6522,1,1,137.3,13.42,6.09,0.625,1
1821.27,353.249,-40.6377,1,1,137.3,13.42,6.09,0.625,1
1821.27,354.163,-40.7676,1,1,137.3,13.42,6.09,0.625,1
1821.27,353.477,-40.6746,1,1,137.3,13.42,6.09,0.625,1
1821.28,354.05,-40.7055,1,1,137.3,13.42,6.09,0.625,1
1821.28,353.936,-40.6832,1,1,137.3,13.42,6.09,0.625,1
1821.28,353.993,-40.6904,1,1,137.3,13.42,6.09,0.625,1
1821.28,353.65,-40.6556,1,1,137.3,13.42,6.09,0.625,1
1821.28,353.879,-40.6759,1,1,137.3,13.42,6.09,0.625,1
1821.28,353.308,-40.6129,1,1,137.3,13.42,6.09,0.625,1
1821.28,354.107,-40.7205,1,1,137.3,13.42,6.09,0.625,1
1821.29,353.822,-40.6531,1,1,137.3,13.42,6.09,0.625,1
1821.29,353.766,-40.6381,1,1,137.3,13.42,6.09,0.625,1
1821.29,353.709,-40.6385,1,1,137.3,13.42,6.09,0.625,1
1822.04,351.352,-41.5506,1,1,138.82104208416865,13.248882765531025,6.2611172344689745,0.64781563126253,1
1822.05,351.412,-41.5093,1,1,138.845090180361,13.246177354709385,6.263822645290615,0.6481763527054153,1
1822.08,351.475,-41.4194,1,1,138.9172344689381,13.238061122244464,6.271938877755537,0.6492585170340716,1
1822.1,351.537,-41.3305,1,1,138.96533066132284,13.232650300601183,6.277349699398818,0.6499799599198425,1
1822.13,351.601,-41.2251,1,1,139.03747494990046,13.2245340681362,6.285465931863802,0.651062124248507,1
1822.16,355.223,-41.5873,1,1,139.10961923847753,13.216417835671276,6.293582164328724,0.6521442885771632,1
1822.16,351.663,-41.1274,1,1,139.10961923847753,13.216417835671276,6.293582164328724,0.6521442885771632,1
1822.17,351.724,-41.0628,1,1,139.1336673346699,13.213712424849636,6.296287575150365,0.6525050100200487,1
1822.21,355.171,-41.3703,1,1,139.22985971943936,13.202890781563072,6.307109218436928,0.6539478957915903,1
1822.22,351.79,-40.902,1,1,139.25390781563172,13.200185370741432,6.309814629258568,0.6543086172344758,1
1822.22,355.114,-41.3233,1,1,139.25390781563172,13.200185370741432,6.309814629258568,0.6543086172344758,1
1822.23,351.851,-40.8451,1,1,139.27795591182408,13.197479959919791,6.3125200400802095,0.6546693386773612,1
1822.24,351.91,-40.8125,1,1,139.30200400801644,13.19477454909815,6.31522545090185,0.6550300601202467,1
