time,x,y,z,speed,WFS,I,U,layer_id
37:21.5,449.991,799.509,35.442,0.077,0.29,0.0,0.03,1
37:21.6,449.966,799.494,35.453,0.077,0.29,0.0,0.03,1
37:21.6,449.264,799.492,35.453,0.573,0.29,0.0,0.03,1
37:21.7,449.021,799.497,35.451,0.573,0.29,0.0,0.03,1
37:21.7,448.255,799.505,35.447,0.61,0.29,0.0,0.03,1
37:21.8,447.537,799.501,35.44,0.61,2.48,91.7,10.24,1
37:21.9,446.741,799.502,35.454,0.552,2.48,91.7,10.24,1
37:21.9,446.503,799.496,35.459,0.552,2.48,91.7,10.24,1
37:22.0,445.613,799.503,35.44,0.612,2.48,91.7,10.24,1
37:22.1,444.663,799.493,35.448,0.612,4.56,115.3,12.27,1
37:22.2,443.818,799.507,35.447,0.646,4.56,115.3,12.27,1
37:22.2,443.538,799.511,35.443,0.646,4.56,115.3,12.27,1
37:22.3,442.781,799.503,35.448,0.656,4.28,120.7,11.92,1
37:22.3,442.502,799.506,35.461,0.656,4.28,120.7,11.92,1
37:22.4,441.464,799.499,35.459,0.629,4.28,120.7,11.92,1
37:22.5,440.655,799.496,35.44,0.629,4.28,120.7,11.92,1
37:22.6,439.937,799.506,35.456,0.63,5.05,118.6,11.59,1
37:22.7,439.101,799.503,35.447,0.63,5.05,118.6,11.59,1
37:22.7,438.422,799.502,35.453,0.656,5.05,118.6,11.59,1
37:22.8,438.142,799.505,35.448,0.656,5.05,118.6,11.59,1
37:22.8,437.463,799.504,35.453,0.601,5.03,124.5,11.5,1
37:22.9,436.783,799.495,35.451,0.601,5.03,124.5,11.5,1
37:23.0,436.14,799.495,35.457,0.622,5.03,124.5,11.5,1
37:23.0,435.86,799.499,35.452,0.622,5.03,124.5,11.5,1
37:23.1,435.139,799.507,35.447,0.659,5.03,124.5,11.5,1
37:23.1,434.862,799.497,35.447,0.659,5.35,131.6,12.04,1
37:23.1,434.298,799.499,35.45,0.699,5.35,131.6,12.04,1
37:23.2,433.982,799.502,35.46,0.699,5.35,131.6,12.04,1
37:23.2,433.222,799.505,35.451,0.585,5.35,131.6,12.04,1
37:23.3,432.976,799.507,35.445,0.585,5.35,131.6,12.04,1
37:23.3,432.341,799.51,35.446,0.546,5.79,137.7,12.45,1
37:23.4,432.1,799.501,35.448,0.546,5.79,137.7,12.45,1
37:23.4,431.464,799.501,35.463,0.621,5.79,137.7,12.45,1
37:23.5,431.181,799.502,35.455,0.621,5.79,137.7,12.45,1
37:23.5,430.621,799.493,35.447,0.681,5.79,137.7,12.45,1
37:23.5,430.339,799.494,35.44,0.681,5.79,137.7,12.45,1
37:23.6,429.664,799.49,35.451,0.58,5.62,136.0,12.61,1
37:23.6,429.414,799.509,35.444,0.58,5.62,136.0,12.61,1
37:23.7,428.702,799.5,35.449,0.549,5.62,136.0,12.61,1
37:23.7,428.458,799.508,35.45,0.549,5.62,136.0,12.61,1
37:23.8,427.786,799.487,35.46,0.593,5.62,136.0,12.61,1
37:23.8,427.536,799.507,35.454,0.593,5.62,136.0,12.61,1
37:23.9,426.932,799.504,35.434,0.626,5.97,140.0,12.8,1
37:23.9,426.663,799.498,35.462,0.626,5.97,140.0,12.8,1
37:24.0,425.937,799.5,35.451,0.643,5.97,140.0,12.8,1
37:24.0,425.661,799.501,35.453,0.643,5.97,140.0,12.8,1
37:24.1,425.057,799.499,35.449,0.563,5.97,140.0,12.8,1
37:24.1,424.821,799.51,35.463,0.563,5.97,140.0,12.8,1
37:24.2,424.217,799.508,35.442,0.569,5.75,137.1,12.78,1
37:24.2,423.974,799.497,35.44,0.569,5.75,137.1,12.78,1
37:24.2,423.342,799.497,35.447,0.559,5.75,137.1,12.78,1
37:24.3,423.101,799.488,35.448,0.559,5.75,137.1,12.78,1
37:24.3,422.5,799.503,35.454,0.565,5.75,137.1,12.78,1
37:24.3,422.259,799.495,35.454,0.565,5.75,137.1,12.78,1
37:24.4,421.661,799.493,35.443,0.583,6.13,140.8,13.02,1
37:24.4,421.417,799.511,35.446,0.583,6.13,140.8,13.02,1
37:24.5,420.776,799.508,35.44,0.637,6.13,140.8,13.02,1
37:24.5,420.497,799.497,35.453,0.637,6.13,140.8,13.02,1
37:24.6,419.899,799.494,35.442,0.561,6.13,140.8,13.02,1
37:24.6,419.661,799.502,35.452,0.561,6.13,140.8,13.02,1
37:24.7,419.063,799.5,35.458,0.658,5.8,138.4,12.94,1
37:24.7,418.777,799.498,35.446,0.658,5.8,138.4,12.94,1
37:24.8,418.143,799.495,35.45,0.597,5.8,138.4,12.94,1
37:24.8,417.896,799.501,35.447,0.597,5.8,138.4,12.94,1
37:24.8,417.334,799.5,35.437,0.633,5.8,138.4,12.94,1
37:24.9,417.063,799.49,35.446,0.633,5.8,138.4,12.94,1
37:24.9,416.298,799.499,35.447,0.545,5.82,137.0,12.63,1
37:25.0,416.06,799.507,35.457,0.545,5.82,137.0,12.63,1
37:25.0,415.337,799.506,35.451,0.558,5.82,137.0,12.63,1
37:25.1,415.102,799.498,35.461,0.558,5.82,137.0,12.63,1
37:25.1,414.465,799.492,35.461,0.607,5.82,137.0,12.63,1
37:25.2,414.212,799.508,35.434,0.607,5.84,137.1,12.49,1
37:25.2,413.497,799.51,35.456,0.565,5.84,137.1,12.49,1
37:25.2,413.262,799.502,35.45,0.565,5.84,137.1,12.49,1
37:25.3,412.623,799.492,35.447,0.67,5.84,137.1,12.49,1
37:25.3,412.334,799.508,35.452,0.67,5.84,137.1,12.49,1
37:25.4,411.659,799.497,35.447,0.641,5.87,139.2,12.67,1
37:25.4,411.381,799.498,35.448,0.641,5.87,139.2,12.67,1
37:25.5,410.706,799.488,35.46,0.58,5.87,139.2,12.67,1
37:25.5,410.462,799.507,35.462,0.58,5.87,139.2,12.67,1
37:25.6,409.777,799.493,35.444,0.574,5.87,139.2,12.67,1
37:25.6,409.533,799.512,35.446,0.574,5.87,139.2,12.67,1
37:25.7,408.777,799.507,35.444,0.667,5.96,140.1,12.95,1
37:25.7,408.5,799.508,35.444,0.667,5.96,140.1,12.95,1
37:25.8,407.699,799.499,35.444,0.577,5.96,140.1,12.95,1
37:25.8,407.456,799.498,35.443,0.577,5.96,140.1,12.95,1
37:25.9,406.733,799.51,35.442,0.579,5.96,140.1,12.95,1
37:25.9,406.498,799.502,35.452,0.579,5.73,136.7,12.99,1
